"2018
Ushs million","2017
Ushs million"
"1,493,232","1,485,202"
"(912,034)","(960,495)"
"581,198","524,707"
"(45,693)","(37,680)"
"(179,941)","(161,600)"
-,"(115,237)"
"(6,076)","2,401"
"(1,791)",(706)
"347,697","211,885"
"(103,941)","(99,506)"
"243,756","112,379"
"43,845","29,849"
"(92,516)","(97,628)"
"195,085","44,600"
"(62,270)","(9,106)"
"132,815","35,494"
"2018
Ushs","2017
Ushs"
82,
