Column,"Effective for
annual periods
beginning or after:"
IFRS 17 Insurance Contracts,1 January 2023
Definition of Accounting Estimates - Amendments to IAS 8,1 January 2023
"Disclosure of Accounting Policies - Amendments to IAS 1 and IFRS Practice
Statement 2",1 January 2023
"Deferred Tax related to Assets and Liabilities arising from a Single Transaction -
Amendments to IAS 12",1 January 2023
Amendments to IAS 1: Classification of Liabilities as Current or Non-Current,1 January 2024
Lease Liability in a Sale and Leaseback – Amendments to IFRS 16,1 January 2024
"Sale or Contribution of Assets between an Investor and its Associate or Joint
Venture - Amendments to IFRS 10 and IAS 28",Postponed indefinitely
