Column,2011,2010
,Ushs’000,Ushs’000
Carrying amount (Note 16),"96,640,517","92,820,637"
"Less: Amounts receivable
from GoU bodies","(12,140,049)","(12,870,341)"
"Customer security deposits
(Note 22)","(2,443,340)","(21,322,992)"
Maximum exposure,"82,057,128","58,627,304"
