Tar,if,f parameter,2012,Column,Column,2013,2014,Column,2015,Column,2016,2017,2018
Dist,rib,ution losses (%),2,5.8,23,,,20,18.3,,16.9,15.7,14.7
DOMC (US$’ million),,,4,2.5,44.1,,44,.6,,46.2,47.7,49.3,51.1
Uncollected debt (%),,,,3.1,2.7,,2,.5,,2.3,2.1,1.8,1.5
