Column,Ushs' Bn
1. Uganda Electricity Transmission Company Limited,792.6
"2. Local Suppliers
Uganda Electricity Distribution Company Limited","196.9
4.4"
3. Taxes to URA (direct & indirect),49.6
4. Foreign Suppliers,42.1
5. Staff,40.0
6. Shareholder Dividends (Net of tax),35.9
7. Debt Financing Costs,13.7
8. NSSF Contribution,5.5
Total Cash Out,"1,1U8m1eme"
