2022,Column,2022
"Ushs
million",,USD ‘000
,"1,885,018
642,232
402,345
213,516
193,977
139,141",
"1,887,326",,"511,002"
"632,746",,"171,473"
"384,792",,"104,369"
"238,805",,"67,877"
"214,873",,"61,400"
"148,215",,"43,361"
,"122,502",
"110,656",,"29,947"
,"2,507,296
893,154
336,605",
"2,571,066",,"691,402"
"1,010,048",,"271,618"
"176,631",,"47,499"
,"315,043
(122,441)
(190,745)",
"349,977",,"95,134"
"(110,656)",,"(29,947)"
"(267,704)",,"(71,514)"
Ushs,"Ushs
85.7
54.1",
91.3,,0.027
63.9,,0.17
,2021,
2022,,
"3,849","3,508
4,277
18.0%
99.1%
16,635
22,405
14,833
22
61
142,623
1,636,431
1,564
3,549
3,593",
"4,628",,
16.8%,,
99.7%,,
"17,839",,
"22,803",,
"15,542",,
22,,
62,,
"121,132",,
"1,757,565",,
"2,301",,
"3,719",,
"3,695",,
