Standard,Amendments
"IFRS 5 Non-current Assets Held for
Sale and Discontinued Operations",
"IFRS 7 Financial Instruments:
Disclosures (with consequential
amendments to IFRS 1)",
IAS 19 Employee Benefits,
IAS 34 Interim Financial Reporting,
