Customer Category,"Sales
Growth","Revenue
Growth"
Domestic,7%,6%
Commercial,12%,8%
Street Lighting,10%,12%
Industrial - Medium,5%,0%
Industrial - Large,12%,10%
Industrial - Extra Large,11%,9%
Total,10%,7%
