Principle Risks,Implication,Mitigation
1. Covid-19 Effects,"· Health and well being of staff and contractors
· Negative impact on electricity demand and
ability of our customers to settle their bills
· Increased non-technical losses through
power theft
· Increased operational costs
· Constrained Government fiscal resources to
settle their obligations
· Service delivery disruption","· Implementation of Standard Operating
Procedures across the business operation
· Prudent resources allocation
· Investment in technology to deliver service
· Closure engagement with customers to
ensure bill payments"
2. Regulatory and Legal Risks,"· Reputational Risks from not meeting
regulatory targets
· Financial and Operational risks from changing
regulatory requirements
· Need for concession extension","· Continuous proactive engagement with the
Regulator on requirements
· Engagement/ negotiations with Government"
3. Operational Risks,"· Increasing power theft leading to higher
power losses
· Increased public accidents from contact with
the network","· Community operations and campaigns to
address power theft i.e. Project Komboa
· Use of all media platforms to sensitise
the public on the proper and safe use of
electricity"
"4. Healthy, Safety and the
Environment","· Possibility of high COVID-19 infection rate of
employees
· Electrocution and loss of lives of staff and
the public from contact with the electricity
network","· The company set up a COVID-19 response
plan and actively practices the Standard
Operating Procedures (SOPs)
· Continuous training for technical teams
working on the network in ORHVS"
"5. Network and IT
Infrastructure Failure","· Disruptions in service delivery
· High costs of recovery of failed infrastructure
· Unreliability of power supply","· Prioritizing investment in technology and
systems thorough the Board and Regulator
· Continuous maintenance of the electricity
network to avoid degradation"
6. Financial Risks,"· Possible liquidity risk due to the slow
down of the economy during COVID-19
lockdowns and suspension of ECP
· Probable inability of the company to meet its
financial obligations due to slowdown of the
economy","· Continued engagements with Government
on recovery of revenue shortfalls from ECP
and COVID -19 and provision of sustainable
funding for ECP
· Engagement with customers on payment of
bills and management of payment plans"
7. Cyber Security,"· Reputational damage due to unsecure data
management arising from introduction of
new technologies and increased remote
applications","· Investment in IT systems security and
continued innovation of platforms to identify
areas of weakness
· Phishing awareness campaigns"
8. Human Capital Risks,"· Increased staff turnover due to uncertainty
caused during COVID-19","· Continued engagements with staff through
virtual platforms to address any concerns
and share updates
· Training staff and critical talent management"
