Classification,Project,Focus area,Outcome,Numbers
Environment,"Salaama School
for the Blind.
Umeme
partnership with
Nature Uganda.","Tree planting to
restore cover (1000
trees planted).","• Create awareness of the environment
for Umeme staff through the U-Green
initiative.
• Create windbreakers to protect the
school against winds that destroy it.
• Educate the young on environment
conservation.
• Assure the blind that they are cared for
and part of the community.","Participants -50
Employees – 86
Partner - 50"
Safety,"Kireka School for
the Deaf.","Fixing a Lightning
Arrestor on the
school block.","• Lightning affects schools and this was to
ensure that these children are safe during
the rainy season.","Beneficiaries – 100
Employees -30"
"Welfare and
Skills","Womens’ Day
visit to Refugee
camp.","Support the
community with food
and clothing while
imparting some skills
on financial literacy.","• While this is a refugee camp there are
some occupants who try to make ends
meet. A day spent with them educating
them how to save and invest was
worthwhile.
• Food items and clothing were handed to
the administrators to support the most
needy and elderly.","Beneficiaries – 200
Employees -100"
"Welfare and
Skills","Partnership with
CDF-UPDF
and Nambi
Children’s
Initiative.","Contribution to
improve the lives of
the national army
women and children’s
welfare.","• Better livelihood of soldiers’ families.
• Umeme better relations with the
National Army .","Beneficiaries –
UPDF officers’
wives and children
in the Bombo
Barracks."
Health,"Annual Surgical
camp with
Surgeons’
Association.","Free surgical
procedures for the
less advantaged in
Mubende.","• Surgeons camped in Mubende to take
services closer to the communities that
would ordinarily not afford the hospital
fees.","Beneficiaries – 100
Employees - 5"
