The key audit matter,How the matter was addressed in our audit
Growth factor and tax IN revenue adjustments (Amendment 2 and 4 ):,
See Note 3 and Note 18 of the financial statements,
"Electricity Regulatory Authority (ERA) implemented Amendment 2
and 4 of the supply license relating to the reconciliation of the total
energy purchased from UETCL, the transmission company, and the
income tax provision on the return on investment components of
the tariff.
These amendments have resulted in amounts of Ushs 22.532
billion being clawed back in respect of the growth factor revenue
and Ushs 12.356 billion in respect of the tax IN through the bulk
supply tariff payable to Umeme Limited in the current year. The
total amounts clawed back to date that have been recorded as
receivables in the company’s financial statements amount to Ushs
65.861 billion for growth factor revenue and Ushs 38.644 billion for
Tax IN.
The recognition of the revenue and related receivable in respect of
these amendments may not be fully supported which may require
the impairment of the receivable.
The directors apply judgement in assessing whether the receivable
is recoverable based on the remedies of recovery available to
the Company included in the concession agreements and the
conclusions reached in the consent judgement between ERA and
the Company on 18th May 2016.
Due to the magnitude of receivables and the significant judgements
applied by management, this has been identified as a key audit
matter in the current year audit.","• We reviewed the nature and composition of the
receivable in respect of the growth factor revenue and
the tax IN, included in trade and other receivables, to
evaluate whether the receivable is potentially impaired.
• We also reviewed all correspondence with the ERA
and other stakeholders in the sector on this matter,
the consent judgement and the provisions of the
concession agreements to confirm the basis on which
the receivable was determined is consistent with the
provisions in those agreements and also to confirm that
the receivable is recoverable
• We reviewed the breakdown of the clawed back
revenue to ensure it was determined in a manner
consistent with the tariff methodology."
