Income Statement,FY 2025,FY 2024
,147.0,615.2
,119.3,396.7
,27.7,218.4
,32.9,91.2
,-6.8,118.7
,37.8,185.8
,11.9,7.8
,-58.7,-161.3
Profit After Tax,-61.9,-136.8
Financial Position at,FY 2025,FY 2024
,39.5,377.0
,-97.7,65.7
Net Cash,32.1,-6.9
,21.9,78.3
