Financial covenant,"Covenant
requirement",Actual,Column
,,2022,2021
Interest cover,≥ 2.5 : 1,9.07,11.04
Adjusted leverage,≤ 3.0 : 1,0.67,0.97
Relevant financial indebtedness to equity,≤ 2.5 : 1,0.30,0.49
Debt service cover,≥ 1.15 : 1,1.22,1.29
Buy out amount to relevant facility amount,≥ 1.1 : 1,1.78,1.21
