Director,01.02.2018,20.03.2018,15.05.2018,27.06.2018,15.08.2018,30.10.2018,21.11.2018
Charles Chapman,√,A,A,X,X,X,√
Patrick Bitature,√,√,√,√,√,A,√
Samuel Zimbe,√,√,X,X,X,X,X
Selestino Babungi,√,√,√,√,√,√,√
Anthony Marsh,√,√,A,√,√,√,√
Andrew Buglass,√,A,√,√,√,√,√
Florence Namatta Mawejje,√,√,√,√,√,A,√
Riccardo Ridolfi,N/A,N/A,N/A,N/A,√,√,√
