Ratio,Covenant
Interest Cover,≥ 2.5 : 1
Adjusted leverage,≤ 3.0 : 1
Relevant Financial Indebtedness to Equity,≤ 2.5 : 1
Debt Service Cover,≥ 1.15:1
Buy-Out Amount to Relevant Facility Amount,≥ 1.1 : 1
