"GOU support &
assurances
rights
Ushs million",Column,Column,Column,"Other
Concession
rights
Ushs million",Column,"Total
Ushs million",Column,Column,Column
,,"2,457",,"204,428",,20,,"6,885",
-,,,,,"78,505",,,"78,505",
-,,,,,"(9,987)","(9,987)",,,
-,,,,(663),,(663),,,
"2,457",,,,"272,283",,"274,740",,,
-,,,,"98,797",,"98,797",,,
-,,,,,(723),(723),,,
,,,-,,"(2,233)","(2,233)",,,
"2,",,,457,3 6,"8 , 1 2 4","3 7 0 , 5 8 1",,,
(696),,,,"( 4 8 , 2 2 4 )",,,"( 4 8 , 9 2 0 )",,
(123),,,,(,"2 1 , 4 1 7 )","( 2 1 , 5 4 0 )",,,
-,,,,5 9 0,,5 9 0,,,
(819),,,,"( 6 9 , 0 5 1 )",,"( 6 9 , 8 7 0 )",,,
(123),,,,(,"2 2 , 1 2 5 )","( 2 2 , 2 4 8 )",,,
,-,,,,"1 , 2 2 0",,,"1 , 2 2 0",
,(942),,,( 8,"9 , 9 5 6 )",( 9,,"0 , 8 9 8 )",
,,"1,638",,2 0,"3 , 2 3 2",2 0,,4,", 8 7 0"
,,"1,515",,2 7,"8 , 1 6 8",2 7,,9,", 6 8 3"
