At 31 December 2022,Column,Column,Column,Column
Deferred tax liabilities / (assets),,,,
Accelerated tax depreciation,"261,177","7,295",-,"253,882"
Provision for bad debts,"(11,029)",(165),(38),"(10,826)"
Other provisions,"(3,394)","1,696","(1,503)","(3,587)"
"Unrealised foreign exchange
gains","(7,304)","(4,323)",(437),"(2,544)"
Net deferred tax liability,"239,450","4,503","(1,978)","236,925"
