2009,2010,2011,Total
Ushs’000,Ushs’000,Ushs’000,Ushs’000
,-,"-
-
8,929,524","1,195,860"
,"7,500,800",,"9,917,388"
,"8,929,524",,"22,323,809"
,"16,430,324","8,929,524","33,437,057"
