Column,2012,Column,Column,Column,2011,Column
,"1,937",,,,"1,735",
,"2,622",,,,"2,387",
26.1%,,,,27.3%,,
94.0%,,,,98.9%,,
,"11,109",,,"8,897",,
,"14,",,908,1,,"0,477"
,,"7,",509,,,"6,496"
,,"1,398",,,"1,544",
"55,690",,,,,"52,349",
"513,498",,,,"457,808",,
,,"1,384",,"1,213",,
"2,691",,,,"2,498",,
"2,",,,517,"2,529",,
