Item,Inputs,Inputs applied,Column,"Sensitivity of input to fair
value",Column,Column
,,2023,2022,"Change
in input",2023,2022
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",10.05%,10.20%,+-0.1%,"1,344","2,287"
"Concession
financial asset","Market interest rate for term
loans with similar term",8.96%,8.13%,+-0.1%,1,5
"Concession
obligation",,8.96%,8.13%,+-0.1%,1,5
