U,"2012
shs million","2011
Ushs million",Column,Column
"170,535",,18,,"5,147"
"13,118",,"14,544",,
-,,"(27,295)",,
-,,"(14,544)",,
"13,175",,"12,683",,
"196,828",,170,,",535"
"196,828",,"170,535",,
,"(43,892)","(28,567)",,
,"152,936",,"141,968",
