Tariff parameter,Actual 2015,2015,2016,2017,2018
Distribution losses (%),19.5,18.3,16.9,15.7,14.7
,53.0,46.2,47.7,49.3,
Uncollected debt (%),2.0,2.3,2.1,1.8,1.5
