Column,Name,"FEBRUARY
2014
HOLDING",%
1,INVESTEC FUNDS,"264,543,565",16.3%
2,UMEME HOLDINGS LIMITED & NOMINEES,"232,214,521",14.3%
3,NATIONAL SOCIAL SECURITY FUND,"231,722,771",14.3%
4,ASHMORE FUNDS,"70,250,672",4.3%
5,ALLAN GRAY AFRICA FUNDS,"55,422,063",3.4%
6,INTERNATIONAL FINANCE CORPORATION,"45,220,900",2.8%
7,UTILICO EMERGING MARKETS LIMITED,"40,281,788",2.5%
8,KIMBERLITE FRONTIER AFRICA FUND,"31,250,768",1.9%
9,T.ROWE PRICE,"29,052,197",1.8%
10,DUET FUNDS,"26,971,012",1.7%
11,EVEREST CAPITAL,"23,111,374",1.4%
12,KATTAGAT TRUST,"21,751,442",1.3%
13,BITATURE PATRICK BAGUMA,"20,228,300",1.2%
15,SBSA ITF BCI AFRICA EQUITY FUND,"16,592,078",1.0%
14,CENTRAL BANK OF KENYA PENSION FUND,"15,178,000",0.9%
16,FARALLON CAPITAL,"15,086,902",0.9%
17,BYARUHANGA WILLIAM,"12,633,367",0.8%
18,STANDARD CHARTERED NOMINEES,"12,442,200",0.8%
19,VANDERBILT UNIVERSITY,"11,913,413",0.7%
20,CORONATION FUNDS,"11,133,960",0.7%
