"20. INTERNATIONAL FINANCE CORPORATION
(IFC) LOAN",Column,Column,Column
,,2011,2010
,,Ushs’000,Ushs’000
,IFC loan,"57,248,789","36,621,956"
,"Movement on the
account",,
,"Balance at the beginning of the
year","36, 6 2 1 , 9 5 6","9,575,000"
,Additional loan during the year,"23, 6 6 0 , 0 0 0","21,250,000"
,"Foreign exchange loss on
translation","2 , 6 7 2 , 8 3 3","4,389,436"
,Interest charge for the year,"3 , 0 7 5 , 4 8 5","2,190,576"
,"Less: Principal repayment
during the year","(6,0 5 6 , 6 4 8 )",-
,"Less: Interest payment during
the year","(2,724,837)","(783,056)"
,,"57,2 4 8 , 7 8 9","36,621,956"
,"Less: Current portion -
amount due within 1 year","(7,288,789)","(7,321,958)"
,Non-current portion,"49,960,000","29,299,998"
,"The amount due is made up of
the following:",,
,Principal,"56, 2 0 5 , 0 0 0","35,160,000"
,Interest payable,"1,043,789","1,461,956"
,,"57,248,789","36,621,956"
