Column,2011,2010
,Ushs’000,Ushs’000
"Due between one and two
years","31,623,529","32,990,581"
"Due between two and three
years","9,516,190","8,929,524"
"Due between three and four
years","9,516,190","8,929,524"
"Due between four and five
years","4,758,095","8,929,524"
Due after five years,-,"4,464,760"
,"70,962,718","73,619,913"
