Item,Inputs,Inputs applied,Column,Sensitivity of input to fair value,Column,Column
,,2021,2020,"Change
in input",2021,2020
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",6.90%,6.67%,+-0.1%,"5,200","6,443"
"Concession
financial asset","Market interest rate for
term loans with similar
term",6.82%,6.58%,+-0.1%,11,7
"Concession
obligation",,6.82%,6.58%,+-0.1%,11,7
