"2011
Ushs million",Column,Column,Column,Column,"2011
Ushs million",Column,Column
-,,,,,"70,963",,
"54,861",,,,,"57,249",,
"244,739",,,,,"117,728",,
,"(46,971)",,,,"(47,289)",,
,"252,629",,,,"198,650",,
"27,748",,,,,"22,870",,
"70,292",,,,,-,,
,"141,407",,,,"84,297",,
,,2,"39,447",,,"107,168",
"492,076",,,,,,,"305,818"
,,5,,1%,65%,,
