Actual,Column,Targets **,Column,Column,Column
2017,2016,2015,2016,2017,2018
17.2%,19.0%,18.3,16.9,15.7,14.7
55,50.8,46.2,47.7,49.3,51.1
(0.2),1.6,2.3,2.1,1.8,1.5
