Customer Category,"H1 2023
(UShs Bn)","H1 2022
(UShs Bn)","Growth
(%)",No.
Domestic,297.8,261.1,14.1%,"1,734,882"
Commercial,140.6,123.0,14.3%,"90,725"
Street Lighting,0.5,0.4,25.0%,302
Industrial – Medium,156.6,140.5,11.5%,3349
Industrial - Large,239,196.5,21.6%,666
Industrial – Extra Large,177.3,158.3,12.0%,50
Total,"1,011.7",879.7,15.0%,"1,757,563"
