"Number of
Shareholders",Column,Column,"Number of
shares held",Column,"Percentage
shareholding"
,10,"1,",,122,
"3,020",,"5,955,",,200,
1584,,"14,290,300",,,
,"1,344","33,795,068",,,
,232,"65,342,470",,,
,69,"1,504,493,845",,,
"6,259",,"1,623,878,005",,,
