Financial covenant,Column,Covenant,Column,Actual,Column,Column
,,requirement,,2021,,2020
Interest cover,≥ 2.5 : 1,,11.04,,4.95,
Adjusted leverage,≤ 3.0 : 1,,0.97,,2.35,
Relevant financial indebtedness to equity,≤ 2.5 : 1,,0.49,,0.76,
Debt service cover,≥ 1.15 : 1,,1.29,,1.44,
Buy out amount to relevant facility amount,≥ 1.1 : 1,,1.21,,1.54,
