Column,2011,2010
,Ushs’000,Ushs’000
Between two and three years,"31,235,975","29,120,500"
Between three and four years,"7,657,992","29,310,077"
Between four and five years,"8,270,629","7,185,650"
After five years,"63,769,200","67,601,418"
,"170,534,631","185,147,206"
