Director,29.03.17,29.06.17,31.08.17,30.11.17,12.12.2017
Patrick Bitature,√,√,√,√,√
Pieter Adriaan Faling,√,√,√,√,√
Charles Chapman,√,√,√,√,√
Stuart David Michael Grylls,√,X,X,X,X
Adrian Mucalov,AD,X,X,X,X
Christopher Nicholson,√,√,√,A,√
Samuel Zimbe,√,√,√,√,√
Florence Nsubuga,√,√,√,√,√
Gerald Ssendaula,√,√,√,√,√
Selestino Babungi,√,√,√,√,√
Florence Namatta Mawejje,√,√,√,A,√
Andrew Buglass,N/A,√,√,√,√
Anthony Marsh,N/A,√,A,A,√
