Year,Total,<30 days,30-60 days,60 – 90 days,">90 days
(default)"
,Ushs million,Ushs million,Ushs million,Ushs million,Ushs million
2021,"230,786","114,814","23,930","59,175","32,867"
2020,"225,162","111,746","23,295","45,049","45,072"
2019,"199,425","110,862","14,497","32,626","41,440"
