Item,Inputs,Inputs applied,Column,Sensitivity of input to fair value,Column,Column
,,2022,2021,"Change
in input",2022,2021
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",9.46%,7.48%,+-0.1%,"3,929","3,933"
"Concession
financial asset","Market interest rate for
term loans with similar
term",5.90%,5.16%,+-0.1%,12,23
"Concession
obligation",,5.90%,5.16%,+-0.1%,12,23
