Column,Total,Neither past due nor impaired,Past due but not impaired,Column,Impaired
,,<30 days,30-60 days,>60 days,
,Ushs million,Ushs million,Ushs million,Ushs million,Ushs million
2017,"256,214","98,450","17,496","71,124","69,144"
