Item,Inputs,Inputs applied,Column,"Sensitivity of input to fair
value",Column,Column
,,2021,2020,"Change
in input",2021,2020
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",7.48%,6.67%,+-0.1%,"3,933","6,443"
"Concession
financial asset","Market interest rate for
term loans with similar term",5.16%,6.58%,+-0.1%,23,7
"Concession
obligation",,5.16%,6.58%,+-0.1%,23,7
