Column,up to,1 - 3,3 - 12,Over,total
,1 Month,Months,Months,1 year,
,,"3,766
54,775","11,297
-","208,479
47,632",
,,,,,"350,764"
,,,,,"245,180"
"Bank balances 29,374
Total financial assets 299,369
Financial liabilities
Concession obligation 127,222
Borrowings: facility A and B -
Trade and other payables 248,802
Bank overdraft 29,344
Total financial liabilities 405,368",,-,-,-,"29,374"
,,"58,541","11,297","256,111","625,318"
,,"3,766
-
37,332
-","11,297
20,182
-
-","208,479
277,800
-
-",
,,,,,"350,764"
,,,,,"297,982"
,,,,,"286,134"
,,,,,"29,344"
,,"41,098","31,479","486,279","964,224"
"Overall open position (105,999) 17,443 (20,182) (230,168) (339,906)
at 31 December 2013
Financial assets
Concession financial asset 82,484 10,326 25,234 134,448 252,492
Trade and other receivables 202,771 - - - 202,771
Bank balances 33,941 - - - 33,941
Total financial assets 319,196 10,326 25,234 134,448 489,204
Financial liabilities
IfC loan 82,484 10,326 25,234 134,448 252,492
Concession obligation - 234 - 131,806 132,040
Trade and other payables 204,507 - - - 204,507
Bank overdraft 13,017 - - - 13,017
300,008 10,560 25,234 266,254 602,056
Overall open position 19,188 (234) - (131,806) (112,852)
98
UMEME LIMITED ANNUAL REPORT 2014",,"17,443","(20,182)","(230,168)","(339,906)"
,,"10,326
-
-","25,234
-
-","134,448
-
-",
,,,,,"252,492"
,,,,,"202,771"
,,,,,"33,941"
,,"10,326","25,234","134,448","489,204"
,,"10,326
234
-
-","25,234
-
-
-","134,448
131,806
-
-",
,,,,,"252,492"
,,,,,"132,040"
,,,,,"204,507"
,,,,,"13,017"
,,"10,560","25,234","266,254","602,056"
,,(234),-,"(131,806)",
,,,,,"(112,852)"
98,,,,,
