"GRI 404: Training and
Education 2016","404-1 Average hours
of training per year per
employee","Employee learning and
Development",51
,"404-2 Programs for
upgrading employee skills
and transition assistance
programs","Employee learning and
Development",51
,"404-3 Percentage of
employees receiving regular
performance and career
development reviews","Performance management
system",50
"GRI 405: Diversity and Equal
Opportunity 2016","405-1 Diversity of
governance bodies and
employees",Workforce Diversity,49
,"405-2 Ratio of basic salary
and remuneration of women
to men",,N/A
"GRI 406: Non-discrimination
2016","406-1 Incidents of
discrimination and corrective
actions taken",,N/A
"GRI 407: Freedom of
Association and Collective
Bargaining 2016","407-1 Operations and
suppliers in which the right
to freedom of association
and collective bargaining
may be at risk",,N/A
GRI 408: Child Labor 2016,"408-1 Operations and
suppliers at significant risk
for incidents of child labor",,N/A
"GRI 409: Forced or
Compulsory Labor 2016","409-1 Operations and
suppliers at significant risk
for incidents of forced or
compulsory labor",,N/A
"GRI 410: Security Practices
2016","410-1 Security personnel
trained in human rights
policies or procedures",,N/A
"GRI 411: Rights of Indigenous
Peoples 2016","411-1 Incidents of violations
involving rights of indigenous
peoples",,N/A
"GRI 413: Local Communities
2016","413-1 Operations with local
community engagement,
impact assessments, and
development programs",,59 - 63
,"413-2 Operations with
significant actual and
potential negative impacts
on local communities",,N/A
"GRI 414: Supplier Social
Assessment 2016","414-1 New suppliers that
were screened using social
criteria",,N/A
,"414-2 Negative social
impacts in the supply chain
and actions taken",,N/A
GRI 415: Public Policy 2016,415-1 Political contributions,,N/A
"GRI 416: Customer Health
and Safety 2016","416-1 Assessment of the
health and safety impacts
of product and service
categories",Public Safety,55 - 57
,"416-2 Incidents of non-
compliance concerning the
health and safety impacts of
products and services",,N/A
