Income Statement,FY 2023,FY 2022,%ch
,588.7,511.0,
,388.6,339.5,
,200.2,171.5,
,70.2,67.0,
,129.5,104.4,
,118.5,43.3,
,12.0,12.3,
,5.1,61.4,
Profit After Tax,4.1,43.4,-90.5%
Financial Position at,FY 2023,FY 2022,%ch
,618.4,691.4,
,247.6,271.6,
Net Debt,12.8,69.5,-81.6%
,130.0,95.1,
