Column,2019,2020,2021,2022,2023,2024,2025
Asset Mgt Systems,5.5,3.6,2.8,2.2,1.5,,
"Asset Performance and
Reliability",15.3,24.6,23.4,29.9,32.8,37.3,30.3
Asset Replacement,16.8,8,9.8,8.2,12.9,8.6,10.1
Technical Losses,4.1,3.6,7.2,,,,
Growth and Access,33.3,34.8,31.6,34.2,27.8,28.4,28.3
