Column,Column,Column,Column,NOT,ES TO THE,FINANCIA,L STATEM,ENTS (Con,tinued)
,ant accountin,,g policies (con,tinued),,,,,
,,,"ended sta
ffective (C","ndards and
ontinued)",interpret,ations (Co,ntinued),,
,,,,"provements
and are no",,"but were n
o have an im","ot yet effect
pact on the","ive as at the
Company’s","date of
financial"
,,,,,,,,,tionate
Standard,,Pronouncement,,,,,,,
"IAS 16 Property, Plant and
Equipment and IAS 38
Intangible Assets",,"Amendments resulting from Annual Improvements
restatement of accumulated depreciation on revalua",,,,provements,2010-2012 C,ycle (propor,tionate
,,,,,,,tion),,
IAS 19 Employee Benefits,,"Amended to clarify the requirements that relate to how contrib
employees or third parties that are linked to service should be a
periods of service",,,,,"how contrib
should be a","utions from
ttributed to",
"IAS 27 Separate Financial
Statements (as amended in
2011)",,Amendments for investment entities,,,,,,,
IAS 36 Impairment of Assets,,"Amendments arising from Recoverable Amount Disclosures for
Assets",,,,,,,
,,,,,,,closures for,Non-Financi,al
"IAS 39 Financial Instruments:
Recognition and Measurement",,Amendments for novations of derivatives,,,,,,,
,,"Amendments to permit an entity to elect to continue to apply t
requirements in IAS 39 for a fair value hedge of the interest rate
portion of a portfolio of financial assets or financial liabilities wh
and to extend the fair value option to certain contracts that me
scope exception",,,,,ue to apply t,he hedge acc,ounting
,,,,,,,,"exposure of
en IFRS 9 is
et the ‘own u","a
applied,
se’"
IAS 40 Investment Property,,"Amendments resulting from Annual Improvements 2011-2013 Cycle
(interrelationship between IFRS 3 and IAS 40)",,,,,,,
"IFRS 10 Consolidated Financial
Statements",,Amendments for investment entities,,,,,,,
"IFRS 12 Disclosure of Interests
in Other Entities",,Amendments for investment entities,,,,,,,
"IFRS 13 Fair Value
Measurement",,"Amendments resulting from Annual Improvements 2011-2013 Cycle (scope of the
portfolio exception in paragraph 52)",,,,,,,
IFRS 3 Business Combinations,,"Amendments resulting from Annual Improvements 2010-2012 Cycle (accounting for
contingent consideration)",,,,,,,
,,"Amendments resulting from Annual Improvements 2011-2013 Cycle (scope
exception for joint ventures)",,,,,,,
"IFRS 7 Financial Instruments:
Disclosures",,"Additional hedge accounting disclosures (and consequential amendments) resulting
from the introduction of the hedge accounting chapter in IFRS 9",,,,,,,
IFRS 9 Financial Instruments,,"Reissue to incorporate a hedge accounting chapter and permit the early application
of the requirements for presenting in other comprehensive income the ‘own credit’
gains or losses on financial liabilities designated under the fair value option without
early applying the other requirements of IFRS 9",,,,,,,
,,"Reissue to include requirements for the classification and measurement of financial
liabilities and incorporate existing derecognition requirements",,,,,,,
IFRIC 21,,Levies,,,,,,,
IFRS 8 Operating Segments,,"Amendments resulting from Annual Improvements 2010-2012 Cycle (aggregation of
segments, reconciliation of segment assets)",,,,,,,
