Column,US,$,GBP,Column,EURO,Column,ZAR,Ushs,Column,TOTAL,Column
"196,828",,,-,,-,,-,-,"196,828",,
-,,,-,,-,,-,723,723,,
-,,,-,,-,,-,"169,640","169,640",,
"4,013",,,-,,-,,-,"46,647","50,660",,
"200,8",,41,-,,,-,-,"217,010","417,851",,
"54,861",,,-,,-,,-,-,"54,861",,
"196,828",,,-,,-,,-,-,"196,828",,
-,,,-,,-,,-,"3,688","3,688",,
-,,,-,,,-,-,"4,270","4,270",,
"19,160",,,160,,"5,113",,"1,047","219,259","244,739",,
"270,849",,,1,60,"5,113",,"1,047","227,217",5,"04,386",
"(70,008)",,,(16,0),"(5,113)",,"(1,047)","(10,207)","(86,535)",,
US$,,,GBP,,EURO,,ZAR,Ushs,,TO,TAL
"170,5",,35,-,,-,,-,-,,"170,535",
,,-,-,,-,,-,"9,987","9,987",,
"5,3",,67,-,,95,,205,"82,187",8,,"7,854"
"17,582",,,-,,-,,-,"32,150",4,,"9,732"
"193,484",,,-,,95,,205,"124,324","318,108",,
"70,963",,,-,,-,,-,-,"70,963",,
"57,2",,49,-,,-,,-,-,"57,249",,
"170,535",,,-,,-,,-,-,17,,"0,535"
-,,,-,,-,,-,"2,443",,,"2,443"
,,-,-,,-,,-,"16,198","16,198",,
"25,9",,36,271,,"2,540",,318,"88,663","117,728",,
"324,68",,3,271,,"2,540",,318,"107,304","435,116",,
"(131,199)",,,(271),,"(2,444)",,(113),"17,020","(117,008)",,
