Financial covenant,"Covenant
requirement",Actual,Column
,,2020,2019
Interest cover,≥ 2.5 : 1,4.95,5.97
Adjusted leverage,≤ 3.0 : 1,2.35,1.35
Relevant financial indebtedness to equity,≤ 2.5 : 1,0.76,0.74
Debt service cover,≥ 1.15 : 1,1.44,1.47
Buy out amount to relevant facility amount,≥ 1.1 : 1,1.54,2.51
