Financial covenant,Column,Covenant,Column,Actual,Column,Column
,,requirement,,2024,,2023
Interest cover,≥ 2.5 : 1,,N/A,,11.75,
Adjusted leverage,≤ 3.0 : 1,,N/A,,0.10,
Relevant financial indebtedness to equity,≤ 2.5 : 1,,N/A,,0.08,
Debt service cover,≥ 1.15 : 1,,N/A,,1.85,
Buy Out Amount to relevant facility amount,≥ 1.1 : 1,,N/A,,1.32,
