Item,Inputs,Inputs applied,Column,"Sensitivity of input to fair
value",Column,Column
,,2024,2023,"Change
in input",2024,2023
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",10.81%,10.05%,+-0.1%,-,"1,344"
"Concession
financial asset","Market interest rate for term
loans with similar term",7.86%,8.96%,+-0.1%,-,1
"Concession
obligation",,7.86%,8.96%,+-0.1%,-,1
