Director,17.03.16,7.04.16,30.06.16,1.09.16,24.10.16,17.11.16,24.11.16
Patrick Bitature,√,√,√,√,A,√,√
Pieter Adriaan Faling,√,√,√,√,√,√,√
Charles Chapman,√,√,√,A,√,√,√
Stuart David Michael Grylls,A,A,√,√,√,√,√
Adrian Mucalov,√,√,A,√,√,√,√
Christopher Nicholson,√,√,√,√,√,A,√
Samuel Zimbe,√,A,√,√,√,√,√
Florence Nsubuga,√,√,√,√,√,√,√
Gerald Ssendaula,√,√,√,√,√,A,A
Selestino Babungi,√,√,√,√,√,√,√
Florence Namatta Mawejje,N/A,N/A,√,√,A,√,A
