Column,2011,2010
,Ushs’000,Ushs’000
Balance as at 1 January,"4,229,913","1,753,200"
Accrual for the year,"7,498,370","3,007,209"
Bonus paid during year,"(4,034,754)","(1,817,353)"
"Reclassification from
other accruals",-,"1,286,857"
Balance as at 31 December,"7,693,529","4,229,913"
