director,23.03.2015,24.06.2015,17.08.2015,18.11.2015
Gerald Ssendaula,√,√,√,√
Pieter Adriaan Faling,N/A,√,√,√
Samuel Zimbe,N/A,√,√,√
Florence Nsubuga,N/A,√,√,√
Selestino Babungi,N/A,√,√,√
