Project Name,Project area,Project Description and Location
"Bombo substation Asset
replacement",Bombo,"Construct a substation with two 7.5/10 MVA transformers, new bays
to relieve the existing bus bars that are over loaded and also ensure
stabilisation of supply to the growing power demand. Substation was
also put on Scada to ensure operational efficiency"
"Ntinda substation 33kV
switchgear replacement -
Phase 1 & Ntinda Substation
reconfiguration",Kampala District,"Construction of plant house, supply and install new 33 KV switchgears
and reconfiguration of the substation, SCADA installation to ensure
operational effectiveness but also to ensure power supply stabilisation
for the areas of Ntinda, Kiwatule, Nalya, Kisaasi, etc"
"Kakiri substation and
Intergrating line",Wakiso District,"Construction of a new substation 10/14 MVA substation at Namusera
and interconnect with Kawanda Busunju 33 kva line to integrate with
existing networks plus construction of a new integrating lines and thus
improve supply relibaility in Kakiri and surrounding areas"
"UETCL Luzira 33 kv Line
Integration",Kampala District,"Construct a 33KV overhead line to evacuate power from the UETCL
Substation and enhance supply reliability due to increased demand from
the industries and domestic customers"
"Lumpewe Transformer upgrade
and Busunju - Kiziba feeder
integration",Bombo District,"Upgrade the Lumpewe substation from 2.5 to 5MVA as it was at 96%
loading. Address the growing demand from the Bombo industrial and
real estate customers"
"Kamuli substation Tranformer
upgrade",Kamuli District,"Upgrade the existing 2.5MVA Kamuli Substation to 5MVA to ensure
supply stabilisation to the Bulopa, Namasagali, Kasolwe, Namwendwa,
feeders and address the demand from growing sugar industry base"
"Kawanda - Namulonge 11kv
Feeder and Lugogo Kololo MV
conductor upgrade",Kampala District,"Upgrade the two feeders by upgrading the 25sqmm conductor to
address technical lossess and improve supply reliability"
"Kampala CBD optimisation,
Upgrade of Gayaza and
Kawempe feeders",Kampala District,"Upgrade of the Feeder meshing and creating interconnection with
existing networks"
Masaka Upper ring,Masaka District,"Split of the feeder, Upgrade from 25sqmm to 100sqmm, construction of
a new MV line, extend lower ring to bridge eixtsing potions, install Load
break switches to stabilise supply"
"Line Differential Protection for
33kV lines","Kampala and Jinja
Districts","Installation of line differential protection on Lugogo –Kireka –Portbell
– Gaba –Lugogo 33kV Ring network and Owen Falls – Jinja Industrial –
Njeru 33kV Interconnectors."
Protection Relay Refurbishment,"Mukono, Fort portal,
Kabale, Kamuli and
Gulu","Upgrade of the Electrostatic Protection Relays with modern Numerical
relays to improve the reliability of the network, ensure safety and
reduce “Energy Not Served” (ENS)"
