Director,22.03.18,16.05.18,28.06.18,16.07.18,24.09.2018,22.11.2018
Patrick Bitature,√,√,√,√,√,√
Pieter Adriaan Faling,√,√,√,√,√,√
Charles Chapman,AD,A,X,X,X,X
Samuel Zimbe,√,√,X,X,X,X
Florence Nsubuga,√,A,√,√,√,√
Gerald Ssendaula,√,A,√,√,A,√
Selestino Babungi,√,√,√,√,√,√
Florence Namatta Mawejje,√,√,√,A,√,√
Andrew Buglass,√,√,√,√,√,√
Anthony Marsh,√,√,√,√,√,√
Ricardo Ridolfi,N/A,√,√,√,√,√
Stephen Emasu,N/A,√,√,√,A,√
