GRI STANDARD,DISCLOSURE,Cross Reference / Heading,LOCATION - Reference Page
"GRI 2: General Disclosures
2021",2-1 Organizational details,About Umeme,6
,"2-2 Entities included in the
organization’s sustainability
reporting",,N/A
,"2-3 Reporting period,
frequency and contact point",Integrated Annual report,5
,"2-4 Restatements of
information",,N/A
,2-5 External assurance,Integrated Annual report,5
,"2-6 Activities, value
chain and other business
relationships",Our service Offering,7
,2-7 Employees,Our Employees,49 - 53
,"2-8 Workers who are not
employees",,N/A
,"2-9 Governance structure
and composition",Corporate Governance,29
,"2-10 Nomination and
selection of the highest
governance body",Corporate Governance,31
,"2-11 Chair of the highest
governance body",Corporate Governance,22
,"2-12 Role of the highest
governance body in
overseeing the management
of impacts",Corporate Governance,30
,"2-13 Delegation of
responsibility for managing
impacts",Corporate Governance,"30, 33 - 36"
,"2-14 Role of the highest
governance body in
sustainability reporting","Corporate Governance
/ Sustainability Report
Introduction",38 / 43
,2-15 Conflicts of interest,Corporate Governance,32
,"2-16 Communication of
critical concerns",Corporate Governance,31
,"2-17 Collective knowledge
of the highest governance
body",Corporate Governance,32
,"2-18 Evaluation of the
performance of the highest
governance body",Corporate Governance,31
,2-19 Remuneration policies,Corporate Governance,32
,"2-20 Process to determine
remuneration","Notes to Financial
Statements",149
,"2-21 Annual total
compensation ratio",Compensation Philosophy,52 - 53
,"2-22 Statement on
sustainable development
strategy",Chairman's Statement,17 - 18
,2-23 Policy commitments,,N/A
,"2-24 Embedding policy
commitments",,N/A
,"2-25 Processes to remediate
negative impacts",,N/A
