"Up to
1 Month
Ushs million","1 - 3
Months
Ushs million","3 - 12
Months
Ushs million",Column,Column,Column,"Over
1 year
Ushs million","Total
Ushs million",Column,Column
"3,673","11,018",2,,,"9,382","203,230",2,"47,303",
-,-,,,,723,-,,723,
"169,640",-,-,,,,-,"169,640",,
"50,660",-,-,,,,-,"50,660",,
"223,973","11,018","30,105",,,,"203,230","468,326",,
-,"4,907",,"4,835",,,"57,308","67,050",,
"3,673","11,018",,,2,"9,382","203,230","247,303",,
-,"3,689",,,,-,-,"3,689",,
"1,423","2,847",,,,-,-,"4,270",,
"244,739",-,-,,,,-,"244,739",,
"249,835","22,461","34,217",,,,"260,538","567,051",,
"(25,863)","(11,442)","(4,112)",,,,"(57,308)","(98,725)",,
"3,398","10,191","27,176",,,,"187,974",2,2,"8,739"
-,-,"9,987",,,,-,,,"9,987"
"87,854",-,,,,-,-,,8,"7,854"
"49,732",-,,,,-,-,"49,732",,
"140,984","10,191",3,,,"7,163","187,974",376,,",312"
-,-,-,,,,"74,670","74,670",,
-,"4,726","4,654",,,,"62,017","71,397",,
"3,397","10,192","27,176",,,,"187,974","228,739",,
-,"2,443",-,,,,-,"2,443",,
"5,399","10,798",-,,,,-,1,,"6,198"
"117,728",-,-,,,,-,11,,"7,728"
"126,524","28,159","31,830",,,,"324,661","511,175",,
"14,459","(17,968)",(5,,,",333)","(136,687)","(134,863)",,
