Number of shares,% of shareholding,Number of shares,% of shareholding
2020,,2019,
"3,900,000",0.24%,"3,900,000",0.24%
"2,011,100",0.12%,"2,011,100",0.12%
"1,260,000",0.08%,"1,260,000",0.08%
"586,800",0.04%,"586,800",0.04%
