Director,16-Mar-16,01-Apr-16,22-Apr-16,07-Jun-16,29-Jun-16,27-Jul-16,31-Aug-16,23-Nov-16
"Stuart David
Michael Grylls",√,√,√,√,√,√,√,√
"Charles
Chapman",√,√,A,√,√,√,A,n/a
Adrian Mucalov,√,√,√,√,A,A,√,√
Chris Nicholson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,√
