Director,Number of shares,% of shareholding,Number of shares,% of shareholding
,2015,,2014,
Patrick Bitature,"228,300",0.01%,"20,228,300",1.25%
Charles Chapman,"7,290,000",0.45%,"10,290,000",0.63%
Samuel Zimbe,"3,160,000",0.19%,"3,660,000",0.23%
"Stuart David Michael Grylls
(as UHL nominee)","100,000",0.01%,"100,000",0.01%
Gerald Ssendaula,"827,200",0.05%,"825,000",0.05%
Florence N. Nsubuga,"2,260,000",0.14%,"2,260,000",0.14%
Selestino Babungi,"2,700,000",0.17%,"2,700,000",0.17%
