Director,16.03.2017,28.06.2017,01.08.2017,10.08.2017,29.08.2017,25.09.2017,29.11.2017
Stuart David M. Grylls,√,X,X,X,X,X,X
Adrian Mucalov,A,X,X,X,X,X,X
Christopher Nicholson,√,√,√,√,√,√,√
Gerald Ssendaula,√,AD,A,A,√,A,A
Andrew Buglass,N/A,N/A,√,√,√,√,√
Anthony Marsh,N/A,N/A,√,√,A,√,A
