Income Statement,H1 2024,H1 2023,%ch
,300.8,289,
,(193.8),(193.4),
,107,95.6,
,(38.1),(30.1),
,68.6,65.6,
,62.2,56.5,
,(4.3),(6.9),
,5.0,3.6,
Profit After Tax,2.3,2.6,-12.8%
Financial Position at,H1 2024,FY 2023,%ch
,604.4,619.8,
,216.2,247.5,
Net Debt,10.1,12.8,-22%
,29.3,59.4,
