Income Statement,H1 2023,H1 2022,%ch
,"1,075.7",897.0,
,(719.8),(618.6),
,355.9,278.4,
,(111.9),(115.1),
,244.0,162.8,
,210.2,78.5,167.7%
,(25.6),(17.6),
,16.7,92.8,
Profit After Tax,13.2,64.4,-79.5%
Financial Position at,H1 2023,FY 2022,
,2411.8,"2,571.1",
,903.6,1010.0,
Net Debt,74,268.4,-72%
,350.0,315.0,
