Column,"20
Ushs milli","12
on Ushs m",Column,"2011
illion"
"54,5",,"96 46,315",,
"25,1",,"94 8,281",,
"79,7",,"90 54,596",,
"(7,1",,"20) (4,708)",,
,"(3,5",74),"(2,412)",
,"(10,6",94),"(7,120)",
"69,0",,96 4,,"7,477"
