Column,Column,Column,"FY 2016
(%)","Growth
Ushs (y/y)",Column
Domestic,312.4,+9.0%,+2.6%,189.6,+11.2%
,,,+4.3%,,
Street Lighting,0.8,+17.7%,+3.0%,0.6,+26.7%
,,,+3.3%,,
Industrial -Large,655.6,+8.1%,+5.9%,262.3,+10.3%
,,,+4.4%,,
