Column,201,2 2011,Column,Column
,Ushs millio,n Ushs million,,
"7,6",,94,,"4,230"
"2,8",,"08 7,498",,
"(4,26",,"5) (4,035)",,
(23,,7) 1,,
"6,00",,0,"7,694",
