Operating and other statistics,FY2014,FY 2013
,"2,277",
,"2,893",
,21.3%,
,99.1%,
,"11,572",
,"16,370",
,"9,081",
,15,
,56,
,"1,884",
,"76,108",
,"650,573",
,"1,389",
,"2,778",
,"2,620",
