"Issued
Capital
US$ ‘000","Share
Premium
US$ ‘000","Retained
Earnings
US$ ‘000","Total
US$ ‘000"
,"25,303
-
-","74,434
36,551
-",
,,,"109,725"
,,,-
,,,"36,551"
,,,-
,"-
-","36,551
(16,244)","36,551"
,,,-
,,,"(16,244)"
,"25,303","94,741",-
,,,"130,032"
,"25,303
-
-","94,741
34,459
-",-
,,,"130,032"
,,,-
,,,"34,459"
,,,-
,"-
(4,488)
-","34,459
6,125
(15,179)","34,459"
,,,(134)
,,,"(15,179)"
,"20,815","120,146",
,,,"149,178"
